"x"
"1" NA
"2" NA
"3" NA
"4" NA
"5" NA
"6" NA
"7" NA
"8" NA
"9" NA
"10" NA
"11" "作者toolin (紅藍是世上最美的顏色)看板TWICE標題[閒聊] 又是我( ￣▽￣)σ送專時間Mon Jun 25 17:34:55 2018
推 littleyouwei: 祝手術順利，早日康復 06/25 18:14
推 AstorLiu: 祝手術順利，早日康復 06/25 18:14
推 wty84136: 祝手術順利，早日康復~ 06/25 18:14
推 gemini0527: 祝手術順利，早日康復 06/25 18:14
推 a23701851: 祝手術順利，早日康復 06/25 18:15
推 LeosCarax: 祝手術順利，早日康復 06/25 18:15
推 dolly99: 祝手術順利，早日康復 06/25 18:15
推 nancy0214: 祝手術順利，早日康復 06/25 18:15
推 twice1020: “祝手術順利，早日康復” 06/25 18:15
推 boomorange: 祝手術順利，早日康復 06/25 18:15
推 LiuBei666: 祝手術順利，早日康復 06/25 18:16
推 whitecat430: 祝手術順利，早日康復 06/25 18:16
推 gru0519: 純推不抽啊啊啊手術順利啊啊啊我愛你們！！！ 06/25 18:16
推 atc22411: 祝手術順利，早日康復 06/25 18:16
推 mike870629: 祝手術順利，早日康復 06/25 18:16
→ mike870629: 祝手術順利，早日康復 06/25 18:17
推 vivu: 祝手術順利，早日康復 06/25 18:17
→ vivu: 祝手術順利，早日康復 06/25 18:17
→ vivu: 祝手術順利，早日康復 06/25 18:17
→ vivu: 祝手術順利，早日康復 06/25 18:17
→ vivu: 祝手術順利，早日康復 06/25 18:17
→ vivu: 祝手術順利，早日康復 06/25 18:17
→ vivu: 祝手術順利，早日康復 06/25 18:17
推 ehtylb: 祝手術順利，早日康復！(純推 06/25 18:17
→ vivu: 祝手術順利，早日康復 06/25 18:18
→ vivu: 祝手術順利，早日康復 06/25 18:18
→ vivu: 祝手術順利，早日康復 06/25 18:18
→ vivu: 祝手術順利，早日康復 06/25 18:18
推 a23701851: 祝手術順利，早日康復 06/25 18:18
→ vivu: 祝手術順利，早日康復 06/25 18:18
→ vivu: 祝手術順利，早日康復 06/25 18:18
→ mike870629: 祝手術順利，早日康復 06/25 18:18
→ vivu: 祝手術順利，早日康復 06/25 18:18
推 x778779: 祝手術順利，早日康復 06/25 18:18
→ vivu: 祝手術順利，早日康復 06/25 18:18
→ vivu: 祝手術順利，早日康復 06/25 18:18
→ vivu: 祝手術順利，早日康復 06/25 18:18
→ vivu: 祝手術順利，早日康復 06/25 18:18
→ vivu: 祝手術順利，早日康復 06/25 18:18
推 gemini0527: 祝手術順利，早日康復 06/25 18:18
→ vivu: 祝手術順利，早日康復 06/25 18:18
→ vivu: 祝手術順利，早日康復 06/25 18:18
→ vivu: 祝手術順利，早日康復 06/25 18:18
→ mike870629: 祝手術順利，早日康復 06/25 18:19
推 karta2747628: 祝手術順利，早日康復 06/25 18:19
→ vivu: 祝手術順利，早日康復 06/25 18:19
→ vivu: 祝手術順利，早日康復 06/25 18:19
→ vivu: 祝手術順利，早日康復 06/25 18:19
推 gemini0527: 祝手術順利，早日康復 06/25 18:19
推 gemini0527: 祝手術順利，早日康復 06/25 18:19
推 kanhun: 祝手術順利，早日康復 06/25 18:20
推 gemini0527: 祝手術順利，早日康復 06/25 18:20
→ vivu: 祝手術順利，早日康復 06/25 18:20
推 AstorLiu: 祝手術順利，早日康復 06/25 18:20
→ vivu: 祝手術順利，早日康復 06/25 18:20
→ vivu: 祝手術順利，早日康復 06/25 18:20
推 gemini0527: 祝手術順利，早日康復 06/25 18:20
→ vivu: 祝手術順利，早日康復 06/25 18:20
→ vivu: 祝手術順利，早日康復 06/25 18:20
→ vivu: 祝手術順利，早日康復 06/25 18:20
→ vivu: 祝手術順利，早日康復 06/25 18:20
推 GodZeus: 祝手術順利，早日康復 06/25 18:20
推 gemini0527: 祝手術順利，早日康復 06/25 18:20
推 karta2747628: 祝手術順利，早日康復 06/25 18:20
推 gemini0527: 祝手術順利，早日康復 06/25 18:21
→ vivu: 祝手術順利，早日康復 06/25 18:21
推 catcat0607: 祝手術順利，早日康復 06/25 18:21
→ vivu: 祝手術順利，早日康復 06/25 18:21
推 kyeg339: 祝手術順利，早日康復 06/25 18:21
→ vivu: 祝手術順利，早日康復 06/25 18:21
推 YUN1028: 祝手術順利，早日康復！ 06/25 18:21
→ vivu: 祝手術順利，早日康復 06/25 18:21
→ vivu: 祝手術順利，早日康復 06/25 18:21
→ vivu: 祝手術順利，早日康復 06/25 18:21
推 lemonteabobo: 祝手術順利，早日康復！ 06/25 18:21
→ vivu: 祝手術順利，早日康復 06/25 18:21
→ vivu: 祝手術順利，早日康復 06/25 18:21
推 emo9: 祝手術順利，早日康復 06/25 18:21
→ vivu: 祝手術順利，早日康復 06/25 18:21
→ YUN1028: 祝手術順利，早日康復 06/25 18:21
→ vivu: 祝手術順利，早日康復 06/25 18:21
→ vivu: 祝手術順利，早日康復 06/25 18:21
→ vivu: 祝手術順利，早日康復 06/25 18:21
→ vivu: 祝手術順利，早日康復 06/25 18:22
→ vivu: 祝手術順利，早日康復 06/25 18:22
推 ronald000: 純推原po好心人 06/25 18:22
→ vivu: 祝手術順利，早日康復 06/25 18:22
→ vivu: 祝手術順利，早日康復 06/25 18:22
推 amber419: 祝手術順利，早日康復 06/25 18:22
→ vivu: 祝手術順利，早日康復 06/25 18:22
→ vivu: 祝手術順利，早日康復 06/25 18:22
推 mobili0226: 祝手術順利，早日康復 06/25 18:22
→ vivu: 祝手術順利，早日康復 06/25 18:22
推 mgact2: 祝手術順利，早日康復 06/25 18:22
→ vivu: 祝手術順利，早日康復 06/25 18:22
推 a23701851: 祝手術順利，早日康復 06/25 18:22
推 GodZeus: 祝手術順利，早日康復 06/25 18:22
推 asnonieta320: 祝手術順利，早日康復 06/25 18:23
→ vivu: 祝手術順利，早日康復 06/25 18:23
推 AstorLiu: 祝手術順利，早日康復 06/25 18:23
→ vivu: 祝手術順利，早日康復 06/25 18:23
→ vivu: 祝手術順利，早日康復 06/25 18:23
推 karta2747628: 祝手術順利，早日康復 06/25 18:23
→ vivu: 祝手術順利，早日康復 06/25 18:23
推 ezorange: 祝手術順利，早日康復    純推不抽 06/25 18:23
→ vivu: 祝手術順利，早日康復 06/25 18:23
→ vivu: 祝手術順利，早日康復 06/25 18:23
→ vivu: 祝手術順利，早日康復 06/25 18:23
推 Miseryz: 祝手術順利，早日康復    純推不抽 06/25 18:23
→ vivu: 祝手術順利，早日康復 06/25 18:23
→ vivu: 祝手術順利，早日康復 06/25 18:23
→ vivu: 祝手術順利，早日康復 06/25 18:23
推 Jennings7: 祝手術順利，早日康復 06/25 18:24
推 atc22411: 祝手術順利，早日康復 06/25 18:24
推 cathy2613: 祝手術順利，早日康復 06/25 18:24
→ vivu: 祝手術順利，早日康復 06/25 18:24
→ vivu: 祝手術順利，早日康復 06/25 18:24
推 RingXO: 祝手術順利，早日康復 06/25 18:24
推 radishhead: 祝手術順利，早日康復    純推不抽 06/25 18:25
推 Dante0121: 祝手術順利，早日康復 06/25 18:25
推 karta2747628: 祝手術順利，早日康復 06/25 18:25
推 bigsally25: 祝手術順利，早日康復 06/25 18:25
→ atc22411: vivu這麼心急… 要推才算啦 06/25 18:25
推 vivu: 祝手術順利，早日康復 06/25 18:25
推 jerrykuo0518: 祝手術順利，早日康復    純推不抽~ 06/25 18:25
→ toolin: 要“推”才算，箭頭不算喔 06/25 18:26
推 a23701851: 祝手術順利，早日康復 06/25 18:26
推 Ritketts: 祝手術順利，早日康復 06/25 18:26
→ vivu: 祝手術順利，早日康復 06/25 18:26
推 karta2747628: 祝手術順利，早日康復 06/25 18:26
→ vivu: 祝手術順利，早日康復 06/25 18:27
推 chung0817: 祝手術順利，早日康復! 06/25 18:27
推 raxt577: 祝手術順利，早日康復 06/25 18:27
推 Angelight: 祝手術順利，早日康復 06/25 18:28
推 linling: 祝手術順利，早日康復 06/25 18:28
推 AstorLiu: 祝手術順利，早日康復 06/25 18:28
推 ChaeYoungcc: 祝手術順利，早日康復 06/25 18:28
推 Lindeman5566: 祝手術順利，早日康復    純推不抽 06/25 18:28
推 vivu: 祝手術順利，早日康復 06/25 18:28
→ vivu: 祝手術順利，早日康復 06/25 18:28
→ vivu: 祝手術順利，早日康復 06/25 18:28
推 karta2747628: 祝手術順利，早日康復 06/25 18:28
推 atc22411: 祝手術順利，早日康復 06/25 18:29
推 a23701851: 祝手術順利，早日康復 06/25 18:29
推 chsh1019: 祝手術順利，早日康復 06/25 18:29
推 vivu: 祝手術順利，早日康復 06/25 18:29
推 play0824: 祝手術順利，早日康復 06/25 18:30
推 vivu: 祝手術順利，早日康復 06/25 18:30
推 AstorLiu: 祝手術順利，早日康復 06/25 18:30
→ vivu: 祝手術順利，早日康復 06/25 18:30
推 dihy880000: 純推 祝手術順利 早日康復 06/25 18:30
推 karta2747628: 祝手術順利，早日康復 06/25 18:30
推 xxxangoy: 祝手術順利，早日康復    純推不抽 06/25 18:31
→ vivu: 祝手術順利，早日康復 06/25 18:31
推 a23701851: 祝手術順利，早日康復 06/25 18:32
推 z2004hume: 祝手術順利，早日康復 06/25 18:32
推 oldchibye: 祝手術順利，早日康復 06/25 18:33
推 karta2747628: 祝手術順利，早日康復 06/25 18:33
推 fanworldshe: 祝手術順利，早日康復 06/25 18:34
推 vivu: 祝手術順利，早日康復 06/25 18:34
推 AstorLiu: 祝手術順利，早日康復 06/25 18:35
推 akiraje: 祝手術順利，早日康復 06/25 18:35
推 a23701851: 祝手術順利，早日康復 06/25 18:35
推 Saonce: 祝手術順利，早日康復 06/25 18:35
推 karta2747628: 祝手術順利，早日康復 06/25 18:35
推 jeff520: 祝手術順利，早日康復 06/25 18:35
推 Nokia33l0: 祝手術順利，早日康復 06/25 18:36
推 Jsnailzz: 祝手術順利，早日康復 06/25 18:36
推 Crystal29: 祝手術順利，早日康復 06/25 18:36
推 vivu: 祝手術順利，早日康復 06/25 18:37
推 Onceweixiang: 祝手術順利，早日康復 06/25 18:37
推 PerFrancis: 祝手術順利！ 純推 06/25 18:37
推 a70195843: 祝手術順利，早日康復 06/25 18:37
推 inokst: 祝手術順利，早日康復！ 06/25 18:37
推 tychou: 祝手術順利，早日康復 06/25 18:37
推 a23701851: 祝手術順利，早日康復 06/25 18:38
推 karta2747628: 祝手術順利，早日康復 06/25 18:38
推 happyhsu: 祝手術順利，早日康復 06/25 18:38
推 AstorLiu: 祝手術順利，早日康復 06/25 18:38
推 FishYBoy: 祝手術順利，早日康復 06/25 18:39
推 en0049: 祝手術順利，早日康復 06/25 18:39
推 scky060914: 祝手術順利，早日康復 06/25 18:39
推 AstorLiu: 祝手術順利，早日康復 06/25 18:40
推 wendyhuang27: 祝手術順利 早日康復 06/25 18:40
推 a23701851: 祝手術順利，早日康復 06/25 18:40
推 karta2747628: 祝手術順利，早日康復 06/25 18:41
推 snio2427: 祝手術順利，早日康復 06/25 18:41
推 MeowohOwO: 祝手術順利 早日康復 06/25 18:41
推 mooneat: 祝手術順利，早日康復 (純推不抽 06/25 18:41
推 as357148: 祝手術順利，早日康復 06/25 18:42
推 ONLYTWICE: 祝手術順利，早日康復 06/25 18:43
推 karta2747628: 祝手術順利，早日康復 06/25 18:43
推 a23701851: 祝手術順利，早日康復 06/25 18:43
推 s93078: 祝手術順利，早日康復 06/25 18:43
推 AstorLiu: 祝手術順利，早日康復 06/25 18:44
推 ting55: 祝手術順利，早日康復 06/25 18:45
推 crazethink: 祝手術順利 , 早日康復 06/25 18:45
推 karta2747628: 祝手術順利，早日康復 06/25 18:45
推 AstorLiu: 祝手術順利，早日康復 06/25 18:46
推 Lahti: 祝手術順利，早日康復 06/25 18:46
推 YUN1028: 祝手術順利，早日康復! 06/25 18:46
→ YUN1028: 祝手術順利，早日康復 06/25 18:47
推 SmileLeee: 祝手術順利，早日康復 06/25 18:47
推 Moneysteven: 祝手術順利，早日康復    純推不抽 06/25 18:47
推 karta2747628: 祝手術順利，早日康復 06/25 18:47
推 firetim: 祝手術順利，早日康復 06/25 18:48
推 a23701851: 祝手術順利，早日康復 06/25 18:48
推 k1366560: 純推好心  祝手術順利，早日康復！ 06/25 18:49
推 Memo1001: 祝手術順利，早日康復 06/25 18:49
推 qaz8521022: 祝手術順利，早日康復 06/25 18:49
推 ww0602: 祝手術順利，早日康復 06/25 18:49
推 karta2747628: 祝手術順利，早日康復 06/25 18:49
推 DMGT: 祝手術順利,早日康復 06/25 18:49
推 garyqbs: 純推 祝手術順利,早日康復!! 06/25 18:50
推 kevinyu0623: 祝手術順利，早日康復！！！！ 06/25 18:50
推 Angelight: 祝手術順利，早日康復 06/25 18:50
推 ww0602: 祝手術順利，早日康復 06/25 18:51
推 qaz8521022: 祝手術順利，早日康復 06/25 18:51
推 GnilZL: 祝手術順利，早日康復 06/25 18:51
推 a23701851: 祝手術順利，早日康復 06/25 18:51
推 karta2747628: 祝手術順利，早日康復 06/25 18:52
推 chocoboxie: 祝手術順利，早日康復 06/25 18:52
推 onceleggo: 祝手術順利，早日康復 06/25 18:52
推 AstorLiu: 祝手術順利，早日康復 06/25 18:52
推 qaz8521022: 祝手術順利，早日康復 06/25 18:52
推 sky755190: 祝手術順利，早日康復 06/25 18:53
推 qaz8521022: 祝手術順利，早日康復 06/25 18:53
→ a23701851: 祝手術順利，早日康復 06/25 18:53
推 zzziii: 祝手術順利，早日康復 06/25 18:53
推 lilyee: 祝手術順利，早日康復 06/25 18:53
推 SONY0911: 祝手術順利，早日康復 06/25 18:53
推 karta2747628: 祝手術順利，早日康復 06/25 18:53
推 vivu: 祝手術順利，早日康復 06/25 18:53
推 TWICEoMOMOo: 祝手術順利，早日康復 06/25 18:55
推 SONCE0703: 祝手術順利，早日康復 06/25 18:55
推 karta2747628: 祝手術順利，早日康復 06/25 18:55
推 heyman666: 祝手術順利，早日康復 06/25 18:56
推 stu2705: 祝手術順利，早日康復 只推不抽 06/25 18:56
推 sw1216ws: 祝手術順利，早日康復 06/25 18:56
推 a23701851: 祝手術順利，早日康復 06/25 18:56
推 hit5180214: 祝手術順利，早日康復 06/25 18:56
推 neiko: 祝手術順利，早日康復。純推不抽 06/25 18:57
推 karta2747628: 祝手術順利，早日康復 06/25 18:57
推 AstorLiu: 祝手術順利，早日康復 06/25 18:58
推 karta2747628: 祝手術順利，早日康復 06/25 18:58
推 fs10431: 祝手術順利，早日康復 純集氣不抽 06/25 18:59
推 pony928: 祝手術順利，早日康復 06/25 18:59
推 vivu: 祝手術順利，早日康復 06/25 19:00
推 espa: 祝手術順利，早日康復 06/25 19:00
推 a23701851: 祝手術順利，早日康復 06/25 19:00
→ espa: 祝手術順利，早日康復 06/25 19:00
→ espa: 祝手術順利，早日康復 06/25 19:00
推 karta2747628: 祝手術順利，早日康復 06/25 19:00
→ espa: 祝手術順利，早日康復 06/25 19:00
→ espa: 祝手術順利，早日康復 06/25 19:00
→ espa: 祝手術順利，早日康復 06/25 19:00
推 AstorLiu: 祝手術順利，早日康復 06/25 19:00
→ espa: 祝手術順利，早日康復 06/25 19:00
→ espa: 祝手術順利，早日康復 06/25 19:00
→ espa: 祝手術順利，早日康復 06/25 19:01
→ espa: 祝手術順利，早日康復 06/25 19:01
推 popstar1127: 祝手術順利，早日康復 06/25 19:01
→ espa: 祝手術順利，早日康復 06/25 19:01
→ espa: 祝手術順利，早日康復 06/25 19:01
推 Achlys: 祝手術順利，早日康復 06/25 19:01
→ espa: 祝手術順利，早日康復 06/25 19:01
推 aa987801: 祝手術順利，早日康復 純推不抽 06/25 19:01
→ espa: 祝手術順利，早日康復 06/25 19:01
→ espa: 祝手術順利，早日康復 06/25 19:01
→ espa: 祝手術順利，早日康復 06/25 19:01
→ espa: 祝手術順利，早日康復 06/25 19:02
→ espa: 祝手術順利，早日康復 06/25 19:02
推 whitecat430: 祝手術順利，早日康復 06/25 19:02
推 atc22411: 祝手術順利，早日康復 06/25 19:02
推 twice1020: “祝手術順利，早日康復” 06/25 19:02
推 vivu: 祝手術順利，早日康復 06/25 19:02
推 tugarujose20: 祝手術順利，早日康復 06/25 19:02
推 johntw: 祝手術順利，早日康復，純推不抽 06/25 19:03
推 egghouse1019: 祝手術順利，早日康復 06/25 19:03
推 popstar1127: 祝手術順利，早日康復 06/25 19:03
→ espa: 祝手術順利，早日康復 06/25 19:03
推 jamie0615: 祝手術順利，早日康復 06/25 19:03
→ espa: 祝手術順利，早日康復 06/25 19:03
→ espa: 祝手術順利，早日康復 06/25 19:03
→ espa: 祝手術順利，早日康復 06/25 19:03
推 a23701851: 祝手術順利，早日康復 06/25 19:04
→ espa: 祝手術順利，早日康復 06/25 19:04
→ espa: 祝手術順利，早日康復 06/25 19:04
推 danny901203: 祝手術順利，早日康復 06/25 19:04
推 karta2747628: 祝手術順利，早日康復 06/25 19:04
推 highfreak: 祝手術順利，早日康復 06/25 19:04
推 AstorLiu: 祝手術順利，早日康復 06/25 19:04
→ espa: 祝手術順利，早日康復 06/25 19:04
→ espa: 祝手術順利，早日康復 06/25 19:04
→ espa: 祝手術順利，早日康復 06/25 19:04
推 YOUNG747: 祝手術順利，早日康復 06/25 19:05
推 Kimtzuy: 祝手術順利，早日康復 06/25 19:05
推 popstar1127: 祝手術順利，早日康復 06/25 19:05
→ espa: 祝手術順利，早日康復 06/25 19:06
推 egghouse1019: 祝手術順利，早日康復 06/25 19:06
推 add70249: 祝手術順利，早日康復 06/25 19:06
推 sincos: 祝手術順利，早日康復 06/25 19:06
→ espa: 祝手術順利，早日康復 06/25 19:06
→ espa: 祝手術順利，早日康復 06/25 19:06
→ espa: 祝手術順利，早日康復 06/25 19:06
→ espa: 祝手術順利，早日康復 06/25 19:07
推 a23701851: 祝手術順利，早日康復 06/25 19:07
推 YTonly: 祝手術順利，早日康復 06/25 19:07
推 karta2747628: 祝手術順利，早日康復 06/25 19:07
→ espa: 祝手術順利，早日康復 06/25 19:07
推 SaTzuNaMo: 祝手術順利，早日康復 06/25 19:07
→ espa: 祝手術順利，早日康復 06/25 19:07
推 AstorLiu: 祝手術順利，早日康復 06/25 19:07
→ espa: 祝手術順利，早日康復 06/25 19:07
推 GodZeus: 祝手術順利，早日康復 06/25 19:07
→ espa: 祝手術順利，早日康復 06/25 19:07
→ espa: 祝手術順利，早日康復 06/25 19:07
推 po19932003: 祝手術順利，早日康復 06/25 19:08
推 powergreen: 祝手術順利，早日康復 06/25 19:08
推 SatoshiPtt: 祝手術順利，早日康復 06/25 19:08
推 mgact2: 祝手術順利，早日康復 06/25 19:08
推 a9711777: 祝手術順利，早日康復!! 06/25 19:09
推 GodZeus: 祝手術順利，早日康復 06/25 19:09
推 karta2747628: 祝手術順利，早日康復 06/25 19:09
推 egghouse1019: 祝手術順利，早日康復 06/25 19:09
推 abcde5113: 祝手術順便，早日康復 06/25 19:09
推 SaTzuNaMo: 祝手術順利，早日康復 06/25 19:10
推 a23701851: 祝手術順利，早日康復 06/25 19:10
推 AstorLiu: 祝手術順利，早日康復 06/25 19:10
推 espa: 祝手術順利，早日康復 06/25 19:10
推 popstar1127: 祝手術順利，早日康復 06/25 19:10
→ espa: 祝手術順利，早日康復 06/25 19:10
推 Toro717: 祝手術順利，早日康復 06/25 19:10
推 ttps871013: 祝手術順利，早日康復 06/25 19:10
→ espa: 祝手術順利，早日康復 06/25 19:10
→ espa: 祝手術順利，早日康復 06/25 19:10
→ espa: 祝手術順利，早日康復 06/25 19:10
推 suyi5278: 祝手術順利，早日康復 06/25 19:10
→ espa: 祝手術順利，早日康復 06/25 19:10
→ espa: 祝手術順利，早日康復 06/25 19:10
→ espa: 祝手術順利，早日康復 06/25 19:10
→ espa: 祝手術順利，早日康復 06/25 19:10
→ espa: 祝手術順利，早日康復 06/25 19:10
推 sunny5947: 祝手術順利，早日康復 06/25 19:11
推 GodZeus: 祝手術順利，早日康復 06/25 19:11
推 imnotired: 祝手術順利，早日康復 06/25 19:11
推 polo608: 祝手術順利，早日康復，純推不取 06/25 19:11
推 karta2747628: 祝手術順利，早日康復 06/25 19:11
→ espa: 祝手術順利，早日康復 06/25 19:12
→ espa: 祝手術順利，早日康復 06/25 19:12
推 popstar1127: 祝手術順利，早日康復 06/25 19:12
推 egghouse1019: 祝手術順利，早日康復 06/25 19:12
推 regist: 祝手術順利，早日康復 06/25 19:12
→ espa: 祝手術順利，早日康復 06/25 19:12
→ espa: 祝手術順利，早日康復 06/25 19:12
推 silheslan: 祝手術順利，早日康復 06/25 19:12
推 SaTzuNaMo: 祝手術順利，早日康復 06/25 19:13
推 AstorLiu: 祝手術順利，早日康復 06/25 19:13
推 a23701851: 祝手術順利，早日康復 06/25 19:13
推 Crystal29: 祝手術順利，早日康復 06/25 19:13
推 cherneko: 祝手術順利，早日康復！ 06/25 19:13
推 nights001: 祝手術順利，早日康復 06/25 19:14
推 popstar1127: 祝手術順利，早日康復 06/25 19:14
→ cherneko: 祝手術順利，早日康復！ 06/25 19:14
推 bjq1922: 祝手術順利，早日康復 06/25 19:14
→ silheslan: 祝手術順利，早日康復 06/25 19:14
→ cherneko: 祝手術順利，早日康復！ 06/25 19:14
